eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Trobriands,Trobriands,KILIVILA,-8.43,151.09,0,0,1,1,2,2,4,4,4,4,2,3,1,Oceania
Truk,Trukese,TRUKESE,7.34,151.6,0,0,2,2,1,7,1,1,6,1,2,1,1,Oceania
Trumai,Trumai,TRUMAI,-12,-53,0,0,1,1,2,1,2,2,3,1,2,3,1,South America
Tsonga,Tsonga,TSONGA,-24,32,0,0,1,1,4,1,2,2,1,4,2,NA,1,Africa
Tuareg,Tuareg Ahaggar,TAMAHAQ_TAHAGGART,23,6,0,0,2,2,1,2,2,2,1,3,2,1,2,Africa
Tubatulabal,Tübalulabal,TUBATULABAL,39,-118,0,0,2,2,1,1,2,2,1,1,2,NA,1,North America
Tucano,Tucano,TUCANO,0,-70,0,0,1,1,6,1,5,5,5,1,2,3,1,South America
Tucano,Cubeo,CUBEO,1,-71,0,0,1,1,2,1,5,5,5,1,2,3,1,South America
Tucuna,Ticuna,TIKUNA,-3,-70,0,0,1,1,2,1,5,5,5,1,2,1,3,South America
Tupinamba,Tupinambá,TUPINAMBA,-8,-35,0,0,1,1,5,1,2,2,2,2,NA,NA,1,South America
Turkana,Turkana,TURKANA,4,35,0,0,1,1,5,7,2,2,1,1,NA,NA,1,Africa
Turkmens,Turkmen,TURKMEN,38,62,0,0,1,1,2,7,2,2,1,4,NA,NA,2,Asia
Turks,Turks,TURKISH,38,30,0,0,1,1,2,7,2,2,1,5,NA,NA,2,Middle East
Twi,Akyem,AKAN_ASANTE,7,-1,0,0,1,1,5,3,2,2,1,4,2,1,1,Africa
Twi,Ashanti,TWI_ASANTE,7,-2,0,0,1,1,5,3,2,2,1,4,2,1,1,Africa
Twi,Fante,TWI_FANTE,6,-1,0,0,1,1,6,3,2,2,1,4,2,1,1,Africa
Tzeltal,Tzeltal,TZELTAL_BACHAJON,17,-92,0,0,1,1,2,6,2,2,2,5,NA,NA,1,Middle America and the Caribbean
Ulithi,Ulithians,ULITHIAN,10.02,139.79,0,0,2,2,1,3,2,2,2,1,0,0,1,Oceania
Uru,Uru,UCHUMATAQU,-16,-69,0,0,1,1,2,5,1,1,6,1,NA,NA,1,South America
Ute,Southern Ute,SOUTHERN_PAIUTE,38,-109,0,0,1,1,2,1,1,1,6,1,1,NA,1,North America
Uttar,Uttar Pradesh,BHOIPURI,26,83,0,0,1,1,2,7,4,4,4,4,NA,NA,5,Asia
Vedda,Vedda,VEDDA,8,81,0,0,2,2,1,7,2,2,3,1,0,0,1,Asia
Vietnam,Annamese,VIETNAMESE,17,107,1,1,1,1,6,5,2,2,3,5,0,0,4,Asia
Warao,Warao,WARAO,9,-62,0,0,1,1,3,1,2,2,2,1,2,1,1,South America
West Punjabi,Punjabi,WESTERN_PANJABI_SHAHPUR,32,73,0,0,2,2,1,7,3,3,7,4,NA,NA,2,Asia
Western,Western Apache,SAN_CARLOS,34,-110,0,0,1,1,2,5,2,2,3,1,2,NA,1,North America
Winnebago/Ho-Chunk,Ho Chunk,WINNEBAGO,44,-88,0,0,1,1,2,NA,2,2,2,1,NA,NA,1,North America
Wogeo,Wogeo,WOGEO,-3.24,144.1,0,0,1,1,6,7,4,4,4,1,2,1,1,Oceania
Woleai,Ifaluk,WOLEAIAN,7.25,144.46,0,0,2,2,1,3,1,1,6,1,0,0,3,Oceania
Wolof,Wolof,WOLOF,15,-17,0,0,1,1,5,5,2,2,1,5,NA,NA,2,Africa
Xavante,Shavante,XAVANTE,-14,-52,0,0,1,1,3,1,2,2,2,1,NA,NA,1,South America
Xinjiang Uygur Autonomous Region,NA,KALAQIN_Xinjiang_Mongols,43.8256,87.6168,2,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,4,Asia
Xokleng,Aweikoma,XOKLENG,-28,-50,0,0,1,1,6,1,1,1,6,1,NA,NA,1,South America
Yahgan,Yahgan,YAMANA,-55.02,-68.98,0,0,1,1,2,1,2,2,2,1,1,1,1,South America
Yakut,Yakut,SAKHA,65,125,0,0,1,1,5,6,4,4,4,2,NA,NA,1,Asia
